Graph,Processes,CutEdges
0,1,0
0,2,5759
0,3,8315
0,4,9705
0,5,10701
0,6,11434
1,1,0
1,2,6197
1,3,8954
1,4,10417
1,5,11485
1,6,12144
2,1,0
2,2,11854
2,3,16961
2,4,19665
2,5,21778
2,6,23111
3,1,0
3,2,10875
3,3,15741
3,4,18220
3,5,20267
3,6,21420
4,1,0
4,2,7477
4,3,10694
4,4,12440
4,5,13802
4,6,14695
5,1,0
5,2,6275
5,3,9065
5,4,10556
5,5,11565
5,6,12320
6,1,0
6,2,6983
6,3,10123
6,4,11651
6,5,13063
6,6,13768
7,1,0
7,2,6965
7,3,9969
7,4,11678
7,5,12919
7,6,13711
8,1,0
8,2,6463
8,3,9255
8,4,10724
8,5,12016
8,6,12711
9,1,0
9,2,9178
9,3,13331
9,4,15445
9,5,17047
9,6,18087
10,1,0
10,2,4547
10,3,6598
10,4,7606
10,5,8553
10,6,9007
11,1,0
11,2,4260
11,3,6097
11,4,7148
11,5,7959
11,6,8516
12,1,0
12,2,3418
12,3,4926
12,4,5783
12,5,6441
12,6,6841
13,1,0
13,2,11921
13,3,17030
13,4,19859
13,5,21909
13,6,23279
14,1,0
14,2,9196
14,3,13235
14,4,15400
14,5,17066
14,6,18038
15,1,0
15,2,5278
15,3,7590
15,4,8819
15,5,9850
15,6,10393
16,1,0
16,2,4011
16,3,5763
16,4,6775
16,5,7485
16,6,8009
17,1,0
17,2,11120
17,3,15876
17,4,18544
17,5,20475
17,6,21730
18,1,0
18,2,4112
18,3,5865
18,4,6896
18,5,7646
18,6,8133
19,1,0
19,2,8415
19,3,12233
19,4,14117
19,5,15686
19,6,16562
20,1,0
20,2,4572
20,3,6601
20,4,7639
20,5,8520
20,6,9082
21,1,0
21,2,9999
21,3,14443
21,4,16696
21,5,18515
21,6,19549
22,1,0
22,2,7944
22,3,11509
22,4,13322
22,5,14716
22,6,15686
23,1,0
23,2,7592
23,3,10937
23,4,12716
23,5,14050
23,6,14981
24,1,0
24,2,6124
24,3,8852
24,4,10187
24,5,11320
24,6,12105
25,1,0
25,2,8409
25,3,12137
25,4,14017
25,5,15633
25,6,16577
26,1,0
26,2,9788
26,3,14017
26,4,16314
26,5,18050
26,6,19183
27,1,0
27,2,4659
27,3,6719
27,4,7849
27,5,8707
27,6,9255
28,1,0
28,2,4518
28,3,6481
28,4,7535
28,5,8415
28,6,8978
29,1,0
29,2,10901
29,3,15623
29,4,18102
29,5,20196
29,6,21440
30,1,0
30,2,10532
30,3,15141
30,4,17546
30,5,19452
30,6,20613
31,1,0
31,2,11595
31,3,16838
31,4,19436
31,5,21517
31,6,22840
32,1,0
32,2,7349
32,3,10653
32,4,12279
32,5,13562
32,6,14554
33,1,0
33,2,10301
33,3,14804
33,4,17145
33,5,18990
33,6,20205
34,1,0
34,2,3763
34,3,5413
34,4,6358
34,5,6982
34,6,7488
35,1,0
35,2,9752
35,3,14085
35,4,16290
35,5,18047
35,6,19261
36,1,0
36,2,4797
36,3,6900
36,4,8008
36,5,8962
36,6,9515
37,1,0
37,2,7899
37,3,11219
37,4,13140
37,5,14451
37,6,15506
38,1,0
38,2,4262
38,3,6018
38,4,7133
38,5,7868
38,6,8420
39,1,0
39,2,4557
39,3,6501
39,4,7614
39,5,8394
39,6,9007
40,1,0
40,2,6707
40,3,9653
40,4,11249
40,5,12474
40,6,13253
41,1,0
41,2,9650
41,3,13913
41,4,16120
41,5,17647
41,6,18890
42,1,0
42,2,6764
42,3,9703
42,4,11307
42,5,12380
42,6,13275
43,1,0
43,2,6576
43,3,9417
43,4,10999
43,5,12164
43,6,12961
44,1,0
44,2,8464
44,3,12088
44,4,14103
44,5,15556
44,6,16528
45,1,0
45,2,10337
45,3,14850
45,4,17146
45,5,19083
45,6,20290
46,1,0
46,2,5973
46,3,8571
46,4,9969
46,5,11061
46,6,11840
47,1,0
47,2,3783
47,3,5440
47,4,6303
47,5,7053
47,6,7508
48,1,0
48,2,5199
48,3,7476
48,4,8665
48,5,9655
48,6,10258
49,1,0
49,2,5594
49,3,7994
49,4,9340
49,5,10391
49,6,10981
