Graph,Processes,CutEdges
0,1,0
0,2,20923
0,3,27814
0,4,31352
0,5,33449
0,6,34774
1,1,0
1,2,21756
1,3,29035
1,4,32532
1,5,34776
1,6,36268
2,1,0
2,2,33377
2,3,44366
2,4,49888
2,5,53384
2,6,55481
3,1,0
3,2,31618
3,3,42175
3,4,47524
3,5,50593
3,6,52772
4,1,0
4,2,24582
4,3,32597
4,4,36703
4,5,39184
4,6,40897
5,1,0
5,2,22040
5,3,29316
5,4,32986
5,5,35245
5,6,36681
6,1,0
6,2,23626
6,3,31315
6,4,35310
6,5,37689
6,6,39338
7,1,0
7,2,23372
7,3,31370
7,4,35172
7,5,37459
7,6,39189
8,1,0
8,2,22270
8,3,29865
8,4,33518
8,5,35735
8,6,37248
9,1,0
9,2,28274
9,3,37633
9,4,42289
9,5,45125
9,6,47054
10,1,0
10,2,18302
10,3,24403
10,4,27283
10,5,29173
10,6,30453
11,1,0
11,2,17536
11,3,23431
11,4,26276
11,5,28123
11,6,29184
12,1,0
12,2,15532
12,3,20868
12,4,23381
12,5,25092
12,6,26016
13,1,0
13,2,33478
13,3,44960
13,4,50242
13,5,53699
13,6,55902
14,1,0
14,2,28047
14,3,37499
14,4,42308
14,5,45062
14,6,46913
15,1,0
15,2,20015
15,3,26422
15,4,29687
15,5,31703
15,6,33024
16,1,0
16,2,17022
16,3,22532
16,4,25504
16,5,27107
16,6,28213
17,1,0
17,2,31888
17,3,42446
17,4,47754
17,5,50916
17,6,53162
18,1,0
18,2,16983
18,3,22807
18,4,25516
18,5,27453
18,6,28456
19,1,0
19,2,26527
19,3,35368
19,4,40006
19,5,42369
19,6,44273
20,1,0
20,2,18197
20,3,24257
20,4,27216
20,5,29294
20,6,30339
21,1,0
21,2,29620
21,3,39555
21,4,44439
21,5,47406
21,6,49334
22,1,0
22,2,25641
22,3,34213
22,4,38465
22,5,41055
22,6,42807
23,1,0
23,2,24527
23,3,33014
23,4,37022
23,5,39545
23,6,41188
24,1,0
24,2,21768
24,3,28978
24,4,32605
24,5,34833
24,6,36235
25,1,0
25,2,26496
25,3,35367
25,4,39761
25,5,42127
25,6,44184
26,1,0
26,2,29236
26,3,38930
26,4,43826
26,5,46544
26,6,48614
27,1,0
27,2,18375
27,3,24569
27,4,27508
27,5,29508
27,6,30744
28,1,0
28,2,17951
28,3,23979
28,4,27067
28,5,28775
28,6,29991
29,1,0
29,2,31733
29,3,41913
29,4,47367
29,5,50580
29,6,52580
30,1,0
30,2,30699
30,3,40945
30,4,46064
30,5,49146
30,6,51137
31,1,0
31,2,33011
31,3,44170
31,4,49506
31,5,52964
31,6,55107
32,1,0
32,2,24070
32,3,32378
32,4,36333
32,5,38941
32,6,40417
33,1,0
33,2,30371
33,3,40483
33,4,45606
33,5,48682
33,6,50642
34,1,0
34,2,16445
34,3,21678
34,4,24516
34,5,25958
34,6,27140
35,1,0
35,2,29177
35,3,38936
35,4,43880
35,5,46751
35,6,48547
36,1,0
36,2,18739
36,3,24974
36,4,27985
36,5,29923
36,6,31218
37,1,0
37,2,25265
37,3,33712
37,4,37944
37,5,40559
37,6,42039
38,1,0
38,2,17470
38,3,23067
38,4,26043
38,5,27844
38,6,28938
39,1,0
39,2,18170
39,3,24029
39,4,27223
39,5,28885
39,6,30105
40,1,0
40,2,23017
40,3,30655
40,4,34524
40,5,36843
40,6,38283
41,1,0
41,2,28913
41,3,38590
41,4,43413
41,5,46326
41,6,48162
42,1,0
42,2,22780
42,3,30551
42,4,34396
42,5,36681
42,6,38175
43,1,0
43,2,22579
43,3,30071
43,4,33859
43,5,36296
43,6,37677
44,1,0
44,2,26784
44,3,35478
44,4,39903
44,5,42480
44,6,44300
45,1,0
45,2,30383
45,3,40611
45,4,45410
45,5,48316
45,6,50658
46,1,0
46,2,21308
46,3,28368
46,4,32147
46,5,34346
46,6,35511
47,1,0
47,2,16362
47,3,22014
47,4,24629
47,5,26314
47,6,27407
48,1,0
48,2,19595
48,3,26167
48,4,29445
48,5,31307
48,6,32689
49,1,0
49,2,20510
49,3,27357
49,4,30657
49,5,32803
49,6,34181
