156
692
30
105
0 1 2
0 8 5
0 14 10
0 31 2
0 59 6
0 101 10
0 108 3
1 0 2
1 11 8
1 68 7
1 78 7
1 80 7
1 139 10
2 10 1
2 13 1
2 43 8
2 116 1
2 139 3
3 40 5
4 28 6
4 31 4
4 53 4
4 93 2
4 148 4
4 155 8
5 68 1
5 96 8
5 112 8
5 145 2
6 7 7
6 59 7
6 74 5
6 81 2
6 141 10
6 145 3
6 153 8
7 6 7
7 9 7
7 117 3
7 139 2
7 144 9
8 0 5
8 11 8
8 12 5
8 68 3
8 99 7
8 105 1
9 7 7
9 15 8
9 30 2
9 32 4
9 72 10
9 95 4
9 146 4
10 2 1
10 12 3
10 78 8
10 85 2
10 94 2
10 114 10
10 141 8
11 1 8
11 8 8
11 18 5
11 80 1
11 92 3
11 98 4
12 8 5
12 10 3
12 39 2
12 66 9
12 92 4
12 100 5
12 147 1
13 2 1
13 75 2
13 118 5
14 0 10
14 52 4
14 61 8
14 73 5
14 77 3
14 105 1
15 9 8
15 18 1
15 36 9
15 39 2
15 44 2
15 53 4
15 61 10
15 93 9
16 75 2
16 130 8
17 61 4
17 86 7
17 128 1
17 134 9
17 147 8
18 11 5
18 15 1
18 26 2
18 67 1
18 104 5
19 46 8
19 98 10
19 99 9
19 120 8
19 154 4
20 49 8
20 126 10
21 24 10
21 48 3
21 139 4
22 35 8
22 46 8
22 100 1
22 121 5
22 126 4
23 41 9
23 88 3
23 128 3
24 21 10
24 40 10
24 116 2
24 124 1
25 51 9
25 63 9
25 79 3
25 136 3
26 18 2
26 46 1
26 146 10
27 63 2
27 84 1
27 86 6
27 107 4
27 123 3
28 4 6
28 38 9
28 74 7
28 112 7
28 148 10
29 69 3
29 73 10
29 118 7
30 9 2
30 93 9
30 147 5
31 0 2
31 4 4
32 9 4
32 103 10
32 147 3
32 149 10
33 79 5
34 39 7
34 63 6
34 90 2
34 143 10
35 22 8
35 73 1
35 94 3
35 115 6
35 121 10
35 151 2
35 154 6
36 15 9
36 118 9
36 123 7
36 131 6
36 140 8
36 155 3
37 38 9
37 122 3
37 147 8
37 150 6
38 28 9
38 37 9
38 48 9
38 49 3
38 115 7
38 134 4
39 12 2
39 15 2
39 34 7
39 85 3
39 102 3
39 105 9
40 3 5
40 24 10
40 147 8
41 23 9
41 98 7
41 151 10
42 59 2
42 77 3
42 110 3
42 121 3
42 150 4
43 2 8
43 72 1
43 82 4
43 128 4
43 137 4
44 15 2
44 117 2
45 56 1
45 59 10
45 88 6
45 125 6
46 19 8
46 22 8
46 26 1
46 55 10
46 56 5
46 58 5
46 107 8
47 62 7
47 94 2
47 111 4
47 132 2
47 134 10
48 21 3
48 38 9
48 85 10
48 106 5
48 119 2
48 152 9
49 20 8
49 38 3
49 51 1
49 69 2
49 148 2
50 92 10
50 111 6
51 25 9
51 49 1
51 54 6
51 90 10
51 93 1
51 129 6
52 14 4
52 67 8
52 97 4
52 102 7
52 152 6
53 4 4
53 15 4
53 89 8
53 126 3
53 131 7
53 151 4
54 51 6
54 60 1
54 99 8
54 104 3
54 106 8
54 115 3
54 119 7
54 133 3
55 46 10
55 71 3
55 97 6
55 121 8
56 45 1
56 46 5
56 64 8
56 69 6
56 90 3
56 96 4
56 100 8
57 100 5
57 131 1
58 46 5
58 76 6
58 79 3
58 109 8
58 131 8
58 133 5
59 0 6
59 6 7
59 42 2
59 45 10
59 79 1
60 54 1
61 14 8
61 15 10
61 17 4
61 118 8
62 47 7
63 25 9
63 27 2
63 34 6
64 56 8
64 77 8
64 79 10
64 103 5
64 145 5
64 153 2
65 104 10
66 12 9
66 141 6
67 18 1
67 52 8
67 69 10
67 118 8
67 142 2
68 1 7
68 5 1
68 8 3
68 73 10
68 107 2
68 119 9
69 29 3
69 49 2
69 56 6
69 67 10
69 117 5
69 132 6
69 147 5
70 102 1
70 153 1
71 55 3
71 73 8
72 9 10
72 43 1
72 109 6
72 148 8
73 14 5
73 29 10
73 35 1
73 68 10
73 71 8
73 124 8
74 6 5
74 28 7
74 141 6
74 149 1
75 13 2
75 16 2
75 88 6
75 104 10
76 58 6
76 78 1
76 98 2
77 14 3
77 42 3
77 64 8
77 103 2
78 1 7
78 10 8
78 76 1
78 84 1
78 86 4
78 91 8
78 116 9
79 25 3
79 33 5
79 58 3
79 59 1
79 64 10
79 93 1
80 1 7
80 11 1
80 88 6
80 119 5
80 144 3
81 6 2
81 83 8
81 94 6
81 96 1
82 43 4
82 125 2
82 152 8
83 81 8
84 27 1
84 78 1
84 114 6
84 115 4
85 10 2
85 39 3
85 48 10
85 94 1
85 131 10
85 152 7
86 17 7
86 27 6
86 78 4
86 97 8
86 102 2
87 91 2
87 99 3
87 129 5
87 134 8
87 151 4
88 23 3
88 45 6
88 75 6
88 80 6
88 95 4
88 147 4
89 53 8
89 147 7
90 34 2
90 51 10
90 56 3
90 92 5
90 127 10
91 78 8
91 87 2
91 133 4
92 11 3
92 12 4
92 50 10
92 90 5
92 94 3
92 118 7
92 148 6
93 4 2
93 15 9
93 30 9
93 51 1
93 79 1
94 10 2
94 35 3
94 47 2
94 81 6
94 85 1
94 92 3
94 99 10
94 113 3
95 9 4
95 88 4
95 120 5
95 136 3
96 5 8
96 56 4
96 81 1
96 141 6
96 147 1
96 148 4
96 154 6
97 52 4
97 55 6
97 86 8
97 104 10
98 11 4
98 19 10
98 41 7
98 76 2
98 124 3
99 8 7
99 19 9
99 54 8
99 87 3
99 94 10
99 123 4
99 152 8
100 12 5
