Graph,Processes,CutEdges
0,1,0
0,2,171
0,3,220
0,4,256
0,5,253
0,6,280
1,1,0
1,2,137
1,3,193
1,4,215
1,5,233
1,6,236
2,1,0
2,2,79
2,3,115
2,4,117
2,5,136
2,6,135
3,1,0
3,2,159
3,3,214
3,4,253
3,5,274
3,6,264
4,1,0
4,2,189
4,3,245
4,4,286
4,5,309
4,6,308
5,1,0
5,2,89
5,3,115
5,4,126
5,5,141
5,6,148
6,1,0
6,2,130
6,3,181
6,4,209
6,5,215
6,6,222
7,1,0
7,2,132
7,3,194
7,4,202
7,5,228
7,6,234
8,1,0
8,2,145
8,3,189
8,4,208
8,5,216
8,6,239
9,1,0
9,2,97
9,3,115
9,4,155
9,5,153
9,6,151
10,1,0
10,2,154
10,3,197
10,4,218
10,5,219
10,6,246
11,1,0
11,2,155
11,3,212
11,4,238
11,5,267
11,6,272
12,1,0
12,2,232
12,3,281
12,4,346
12,5,348
12,6,354
13,1,0
13,2,104
13,3,140
13,4,161
13,5,168
13,6,181
14,1,0
14,2,290
14,3,370
14,4,448
14,5,446
14,6,473
15,1,0
15,2,152
15,3,196
15,4,226
15,5,251
15,6,253
16,1,0
16,2,285
16,3,397
16,4,425
16,5,460
16,6,477
17,1,0
17,2,212
17,3,266
17,4,297
17,5,299
17,6,330
18,1,0
18,2,108
18,3,133
18,4,151
18,5,164
18,6,164
19,1,0
19,2,158
19,3,214
19,4,238
19,5,253
19,6,276
20,1,0
20,2,182
20,3,240
20,4,269
20,5,303
20,6,303
21,1,0
21,2,276
21,3,375
21,4,416
21,5,442
21,6,475
22,1,0
22,2,237
22,3,315
22,4,360
22,5,387
22,6,405
23,1,0
23,2,87
23,3,120
23,4,145
23,5,155
23,6,153
24,1,0
24,2,254
24,3,313
24,4,387
24,5,393
24,6,408
25,1,0
25,2,92
25,3,128
25,4,150
25,5,151
25,6,151
26,1,0
26,2,223
26,3,292
26,4,325
26,5,359
26,6,371
27,1,0
27,2,116
27,3,156
27,4,169
27,5,182
27,6,193
28,1,0
28,2,145
28,3,174
28,4,209
28,5,212
28,6,222
29,1,0
29,2,122
29,3,168
29,4,171
29,5,189
29,6,205
30,1,0
30,2,162
30,3,214
30,4,230
30,5,260
30,6,265
31,1,0
31,2,250
31,3,332
31,4,372
31,5,396
31,6,422
32,1,0
32,2,227
32,3,310
32,4,332
32,5,351
32,6,373
33,1,0
33,2,267
33,3,381
33,4,406
33,5,430
33,6,451
34,1,0
34,2,228
34,3,346
34,4,369
34,5,415
34,6,420
35,1,0
35,2,161
35,3,200
35,4,232
35,5,237
35,6,251
36,1,0
36,2,167
36,3,223
36,4,250
36,5,288
36,6,283
37,1,0
37,2,130
37,3,159
37,4,178
37,5,183
37,6,201
38,1,0
38,2,213
38,3,281
38,4,320
38,5,338
38,6,355
39,1,0
39,2,159
39,3,208
39,4,246
39,5,262
39,6,271
40,1,0
40,2,152
40,3,207
40,4,237
40,5,248
40,6,258
41,1,0
41,2,241
41,3,342
41,4,373
41,5,411
41,6,420
42,1,0
42,2,157
42,3,208
42,4,240
42,5,242
42,6,254
43,1,0
43,2,107
43,3,142
43,4,164
43,5,159
43,6,171
44,1,0
44,2,97
44,3,140
44,4,149
44,5,169
44,6,170
45,1,0
45,2,294
45,3,434
45,4,477
45,5,519
45,6,530
46,1,0
46,2,302
46,3,406
46,4,465
46,5,496
46,6,508
47,1,0
47,2,112
47,3,124
47,4,148
47,5,166
47,6,157
48,1,0
48,2,220
48,3,306
48,4,339
48,5,345
48,6,367
49,1,0
49,2,194
49,3,271
49,4,287
49,5,314
49,6,325
