Graph,Processes,CutEdges
0,1,0
0,2,2373
0,3,3330
0,4,3830
0,5,4174
0,6,4461
1,1,0
1,2,2541
1,3,3604
1,4,4100
1,5,4510
1,6,4799
2,1,0
2,2,2469
2,3,3423
2,4,3965
2,5,4295
2,6,4579
3,1,0
3,2,2726
3,3,3815
3,4,4374
3,5,4802
3,6,5076
4,1,0
4,2,2405
4,3,3344
4,4,3882
4,5,4257
4,6,4503
5,1,0
5,2,2331
5,3,3270
5,4,3735
5,5,4070
5,6,4330
6,1,0
6,2,2705
6,3,3775
6,4,4353
6,5,4751
6,6,4996
7,1,0
7,2,2491
7,3,3560
7,4,4023
7,5,4440
7,6,4697
8,1,0
8,2,2627
8,3,3760
8,4,4296
8,5,4741
8,6,5024
9,1,0
9,2,2689
9,3,3780
9,4,4326
9,5,4685
9,6,4986
10,1,0
10,2,2347
10,3,3358
10,4,3807
10,5,4171
10,6,4384
11,1,0
11,2,2381
11,3,3350
11,4,3854
11,5,4190
11,6,4445
12,1,0
12,2,2282
12,3,3244
12,4,3710
12,5,4079
12,6,4300
13,1,0
13,2,2429
13,3,3431
13,4,3919
13,5,4273
13,6,4520
14,1,0
14,2,2385
14,3,3331
14,4,3781
14,5,4185
14,6,4402
15,1,0
15,2,2330
15,3,3250
15,4,3754
15,5,4105
15,6,4324
16,1,0
16,2,2352
16,3,3256
16,4,3743
16,5,4063
16,6,4379
17,1,0
17,2,2392
17,3,3382
17,4,3853
17,5,4246
17,6,4486
18,1,0
18,2,2477
18,3,3467
18,4,4013
18,5,4370
18,6,4659
19,1,0
19,2,2290
19,3,3264
19,4,3721
19,5,4083
19,6,4338
20,1,0
20,2,2371
20,3,3326
20,4,3837
20,5,4172
20,6,4433
21,1,0
21,2,2538
21,3,3541
21,4,4091
21,5,4446
21,6,4735
22,1,0
22,2,2559
22,3,3542
22,4,4079
22,5,4464
22,6,4711
23,1,0
23,2,2488
23,3,3455
23,4,4033
23,5,4358
23,6,4613
24,1,0
24,2,2698
24,3,3755
24,4,4316
24,5,4730
24,6,5013
25,1,0
25,2,2557
25,3,3634
25,4,4185
25,5,4543
25,6,4805
26,1,0
26,2,2642
26,3,3672
26,4,4220
26,5,4590
26,6,4866
27,1,0
27,2,2377
27,3,3346
27,4,3864
27,5,4192
27,6,4455
28,1,0
28,2,2447
28,3,3455
28,4,3949
28,5,4317
28,6,4538
29,1,0
29,2,2359
29,3,3370
29,4,3809
29,5,4199
29,6,4419
30,1,0
30,2,2397
30,3,3359
30,4,3865
30,5,4230
30,6,4491
31,1,0
31,2,2633
31,3,3753
31,4,4261
31,5,4741
31,6,4975
32,1,0
32,2,2598
32,3,3679
32,4,4227
32,5,4651
32,6,4885
33,1,0
33,2,2570
33,3,3524
33,4,4104
33,5,4459
33,6,4741
34,1,0
34,2,2651
34,3,3727
34,4,4271
34,5,4681
34,6,4964
35,1,0
35,2,2417
35,3,3513
35,4,3948
35,5,4358
35,6,4605
36,1,0
36,2,2606
36,3,3697
36,4,4261
36,5,4715
36,6,4900
37,1,0
37,2,2451
37,3,3406
37,4,3928
37,5,4296
37,6,4545
38,1,0
38,2,2408
38,3,3441
38,4,3897
38,5,4256
38,6,4497
39,1,0
39,2,2409
39,3,3350
39,4,3835
39,5,4206
39,6,4444
40,1,0
40,2,2498
40,3,3468
40,4,3974
40,5,4378
40,6,4631
41,1,0
41,2,2574
41,3,3654
41,4,4165
41,5,4539
41,6,4808
42,1,0
42,2,2481
42,3,3479
42,4,4016
42,5,4407
42,6,4667
43,1,0
43,2,2682
43,3,3784
43,4,4318
43,5,4699
43,6,5037
44,1,0
44,2,2453
44,3,3417
44,4,3905
44,5,4287
44,6,4557
45,1,0
45,2,2504
45,3,3564
45,4,4030
45,5,4448
45,6,4699
46,1,0
46,2,2575
46,3,3667
46,4,4184
46,5,4583
46,6,4841
47,1,0
47,2,2361
47,3,3400
47,4,3837
47,5,4251
47,6,4494
48,1,0
48,2,2570
48,3,3648
48,4,4217
48,5,4554
48,6,4844
49,1,0
49,2,2688
49,3,3723
49,4,4305
49,5,4732
49,6,4982

