Graph,Processes,CutEdges
0,1,0
0,2,2373
0,3,3330
0,4,3830
0,5,4174
0,6,4461
1,1,0
1,2,2295
1,3,3327
1,4,3761
1,5,4153
1,6,4393
2,1,0
2,2,2464
2,3,3480
2,4,3958
2,5,4363
2,6,4597
3,1,0
3,2,2471
3,3,3444
3,4,3986
3,5,4347
3,6,4606
4,1,0
4,2,2382
4,3,3366
4,4,3837
4,5,4198
4,6,4464
5,1,0
5,2,2695
5,3,3796
5,4,4339
5,5,4729
5,6,5018
6,1,0
6,2,2432
6,3,3430
6,4,3906
6,5,4307
6,6,4531
7,1,0
7,2,2350
7,3,3347
7,4,3820
7,5,4135
7,6,4383
8,1,0
8,2,2349
8,3,3243
8,4,3727
8,5,4075
8,6,4362
9,1,0
9,2,2362
9,3,3371
9,4,3815
9,5,4207
9,6,4434
10,1,0
10,2,2381
10,3,3350
10,4,3854
10,5,4190
10,6,4445
11,1,0
11,2,2559
11,3,3542
11,4,4079
11,5,4464
11,6,4711
12,1,0
12,2,2570
12,3,3524
12,4,4104
12,5,4459
12,6,4741
13,1,0
13,2,2453
13,3,3417
13,4,3905
13,5,4287
13,6,4557
14,1,0
14,2,2574
14,3,3650
14,4,4164
14,5,4582
14,6,4802
15,1,0
15,2,2347
15,3,3338
15,4,3824
15,5,4148
15,6,4416
16,1,0
16,2,2462
16,3,3459
16,4,3973
16,5,4395
16,6,4606
17,1,0
17,2,2618
17,3,3645
17,4,4228
17,5,4622
17,6,4891
18,1,0
18,2,2458
18,3,3410
18,4,3950
18,5,4309
18,6,4544
19,1,0
19,2,2577
19,3,3586
19,4,4125
19,5,4530
19,6,4809
20,1,0
20,2,2480
20,3,3446
20,4,3980
20,5,4324
20,6,4615
21,1,0
21,2,2672
21,3,3727
21,4,4257
21,5,4699
21,6,4985
22,1,0
22,2,2340
22,3,3264
22,4,3748
22,5,4093
22,6,4349
23,1,0
23,2,2441
23,3,3375
23,4,3917
23,5,4273
23,6,4543
24,1,0
24,2,2525
24,3,3556
24,4,4052
24,5,4434
24,6,4729
25,1,0
25,2,2589
25,3,3574
25,4,4149
25,5,4511
25,6,4786
26,1,0
26,2,2468
26,3,3459
26,4,3964
26,5,4358
26,6,4622
27,1,0
27,2,2497
27,3,3551
27,4,4037
27,5,4437
27,6,4691
28,1,0
28,2,2763
28,3,3862
28,4,4412
28,5,4798
28,6,5086
29,1,0
29,2,2481
29,3,3547
29,4,4034
29,5,4406
29,6,4651
30,1,0
30,2,2518
30,3,3557
30,4,4070
30,5,4460
30,6,4746
31,1,0
31,2,2397
31,3,3434
31,4,3933
31,5,4305
31,6,4532
32,1,0
32,2,2603
32,3,3659
32,4,4184
32,5,4551
32,6,4844
33,1,0
33,2,2531
33,3,3487
33,4,4070
33,5,4464
33,6,4729
34,1,0
34,2,2337
34,3,3281
34,4,3774
34,5,4159
34,6,4375
35,1,0
35,2,2562
35,3,3620
35,4,4127
35,5,4501
35,6,4810
36,1,0
36,2,2320
36,3,3267
36,4,3747
36,5,4085
36,6,4315
37,1,0
37,2,2344
37,3,3350
37,4,3789
37,5,4157
37,6,4425
38,1,0
38,2,2433
38,3,3400
38,4,3928
38,5,4292
38,6,4562
39,1,0
39,2,2589
39,3,3645
39,4,4159
39,5,4561
39,6,4815
40,1,0
40,2,2568
40,3,3592
40,4,4085
40,5,4492
40,6,4803
41,1,0
41,2,2589
41,3,3624
41,4,4157
41,5,4579
41,6,4772
42,1,0
42,2,2425
42,3,3443
42,4,3942
42,5,4318
42,6,4555
43,1,0
43,2,2467
43,3,3435
43,4,3974
43,5,4338
43,6,4581
44,1,0
44,2,2390
44,3,3356
44,4,3809
44,5,4172
44,6,4448
45,1,0
45,2,2487
45,3,3479
45,4,3997
45,5,4354
45,6,4608
46,1,0
46,2,2409
46,3,3438
46,4,3897
46,5,4363
46,6,4545
47,1,0
47,2,2351
47,3,3326
47,4,3778
47,5,4176
47,6,4427
48,1,0
48,2,2578
48,3,3655
48,4,4201
48,5,4572
48,6,4786
49,1,0
49,2,2338
49,3,3308
49,4,3803
49,5,4181
49,6,4400
