Graph,Processes,CutEdges
0,1,0
0,2,4010
0,3,5349
0,4,6068
0,5,6392
0,6,6682
1,1,0
1,2,4061
1,3,5292
1,4,6034
1,5,6411
1,6,6656
2,1,0
2,2,4089
2,3,5524
2,4,6128
2,5,6688
2,6,6875
3,1,0
3,2,4120
3,3,5560
3,4,6196
3,5,6627
3,6,6924
4,1,0
4,2,3989
4,3,5352
4,4,5972
4,5,6398
4,6,6695
5,1,0
5,2,4413
5,3,5942
5,4,6705
5,5,7092
5,6,7420
6,1,0
6,2,4103
6,3,5451
6,4,6142
6,5,6599
6,6,6837
7,1,0
7,2,3991
7,3,5314
7,4,5953
7,5,6363
7,6,6651
8,1,0
8,2,3963
8,3,5217
8,4,5846
8,5,6239
8,6,6530
9,1,0
9,2,3965
9,3,5336
9,4,5992
9,5,6417
9,6,6661
10,1,0
10,2,4074
10,3,5331
10,4,6055
10,5,6480
10,6,6700
11,1,0
11,2,4236
11,3,5619
11,4,6335
11,5,6688
11,6,7027
12,1,0
12,2,4221
12,3,5597
12,4,6382
12,5,6771
12,6,7018
13,1,0
13,2,4028
13,3,5392
13,4,6093
13,5,6558
13,6,6773
14,1,0
14,2,4273
14,3,5763
14,4,6396
14,5,6921
14,6,7168
15,1,0
15,2,3974
15,3,5367
15,4,6023
15,5,6424
15,6,6660
16,1,0
16,2,4164
16,3,5448
16,4,6196
16,5,6570
16,6,6846
17,1,0
17,2,4320
17,3,5746
17,4,6492
17,5,6901
17,6,7176
18,1,0
18,2,4114
18,3,5504
18,4,6118
18,5,6471
18,6,6839
19,1,0
19,2,4310
19,3,5757
19,4,6400
19,5,6865
19,6,7162
20,1,0
20,2,4137
20,3,5464
20,4,6220
20,5,6650
20,6,6881
21,1,0
21,2,4386
21,3,5873
21,4,6593
21,5,7069
21,6,7320
22,1,0
22,2,3879
22,3,5230
22,4,5877
22,5,6344
22,6,6522
23,1,0
23,2,4058
23,3,5438
23,4,6133
23,5,6477
23,6,6801
24,1,0
24,2,4177
24,3,5628
24,4,6298
24,5,6777
24,6,7020
25,1,0
25,2,4234
25,3,5703
25,4,6352
25,5,6892
25,6,7133
26,1,0
26,2,4064
26,3,5532
26,4,6167
26,5,6651
26,6,6866
27,1,0
27,2,4149
27,3,5616
27,4,6294
27,5,6710
27,6,6953
28,1,0
28,2,4456
28,3,6027
28,4,6806
28,5,7229
28,6,7513
29,1,0
29,2,4167
29,3,5652
29,4,6332
29,5,6755
29,6,7006
30,1,0
30,2,4226
30,3,5614
30,4,6303
30,5,6768
30,6,7072
31,1,0
31,2,4089
31,3,5425
31,4,6087
31,5,6494
31,6,6845
32,1,0
32,2,4384
32,3,5753
32,4,6559
32,5,6903
32,6,7258
33,1,0
33,2,4197
33,3,5679
33,4,6303
33,5,6763
33,6,7078
34,1,0
34,2,3968
34,3,5325
34,4,5930
34,5,6366
34,6,6615
35,1,0
35,2,4274
35,3,5718
35,4,6370
35,5,6862
35,6,7150
36,1,0
36,2,3987
36,3,5336
36,4,5918
36,5,6313
36,6,6617
37,1,0
37,2,4045
37,3,5288
37,4,6007
37,5,6396
37,6,6657
38,1,0
38,2,4089
38,3,5385
38,4,6137
38,5,6492
38,6,6745
39,1,0
39,2,4278
39,3,5697
39,4,6451
39,5,6875
39,6,7130
40,1,0
40,2,4253
40,3,5721
40,4,6411
40,5,6839
40,6,7152
41,1,0
41,2,4315
41,3,5778
41,4,6466
41,5,6909
41,6,7185
42,1,0
42,2,4148
42,3,5422
42,4,6194
42,5,6518
42,6,6854
43,1,0
43,2,4101
43,3,5569
43,4,6085
43,5,6633
43,6,6926
44,1,0
44,2,4041
44,3,5323
44,4,6037
44,5,6432
44,6,6718
45,1,0
45,2,4181
45,3,5530
45,4,6223
45,5,6611
45,6,6931
46,1,0
46,2,4145
46,3,5527
46,4,6204
46,5,6568
46,6,6915
47,1,0
47,2,4030
47,3,5336
47,4,6024
47,5,6335
47,6,6627
48,1,0
48,2,4231
48,3,5732
48,4,6465
48,5,6922
48,6,7148
49,1,0
49,2,4056
49,3,5302
49,4,6044
49,5,6392
49,6,6696
